	V4	V5	V6
36675	chr1	1212634	1213443
36676	chr1	1213621	1214314
36677	chr1	1216749	1217579
36678	chr1	1219096	1219997
36679	chr1	1221888	1222691
36680	chr1	1231679	1232600
36681	chr1	1246307	1247181
36682	chr1	1250604	1251481
36683	chr1	1264890	1265710
36684	chr1	1273473	1274390
36685	chr1	1291565	1292442
36686	chr1	1299758	1300677
36687	chr1	1305205	1306118
36688	chr1	1307835	1308738
36689	chr1	1324310	1325214
36690	chr1	1349033	1349944
36691	chr1	1355222	1355768
36692	chr1	1358432	1359098
36693	chr1	1371284	1371929
36694	chr1	1372034	1372294
36695	chr1	1374954	1375849
36696	chr1	1380517	1381109
36697	chr1	1381247	1381999
36698	chr1	1399004	1399916
36699	chr1	1406884	1407774
36700	chr1	1419757	1420651
36701	chr1	1427102	1427795
36702	chr1	1435227	1436111
36703	chr1	1440624	1441509
36704	chr1	1462117	1463011
36705	chr1	1471246	1472140
36706	chr1	1479342	1480154
36707	chr1	1494542	1495176
36708	chr1	1495371	1496305
36709	chr1	1504731	1505552
36710	chr1	1511555	1512440
36711	chr1	1518025	1518896
36712	chr1	1540142	1541014
36713	chr1	1574341	1575257
36714	chr1	1597040	1597847
36715	chr1	1599480	1600366
36716	chr1	1606836	1607715
36717	chr1	1615081	1615882
36718	chr1	1629814	1630730
36719	chr1	1636592	1637322
36720	chr1	1639086	1639949
36721	chr1	1644884	1645152
36722	chr1	1658662	1659572
36723	chr1	1660577	1661313
36724	chr1	1665464	1666129
36725	chr1	1673383	1674337
36726	chr1	1677545	1678433
36727	chr1	1678719	1679500
36728	chr1	1686060	1686912
36729	chr1	1692402	1693253
36730	chr1	1696448	1697278
36731	chr1	1697430	1698169
36732	chr1	1723986	1724896
36733	chr1	1725964	1726766
36734	chr1	1728357	1729225
36735	chr1	1740710	1741404
36736	chr1	1742983	1743921
36737	chr1	1746011	1746903
36738	chr1	1748560	1749485
36739	chr1	1749908	1750645
36740	chr1	1752804	1753655
36741	chr1	1753908	1754660
36742	chr1	1755326	1756252
36743	chr1	1763983	1764870
36744	chr1	1775318	1776256
36745	chr1	1778274	1779099
36746	chr1	1780001	1780938
36747	chr1	1782404	1783324
36748	chr1	1796224	1797125
36749	chr1	1797772	1798615
36750	chr1	1833550	1834324
36751	chr1	1847601	1848401
36752	chr1	1849031	1849853
36753	chr1	1856924	1857809
36754	chr1	1858400	1859268
36755	chr1	1869279	1870127
36756	chr1	1881568	1882195
36757	chr1	1889761	1890422
36758	chr1	1890834	1891703
36759	chr1	1899089	1899928
36760	chr1	1901465	1902288
36761	chr1	1905970	1906866
36762	chr1	1908750	1909642
36763	chr1	1919008	1919922
36764	chr1	1942533	1943270
36765	chr1	1943685	1944558
36766	chr1	1959748	1960673
36767	chr1	1995944	1996827
36768	chr1	2003380	2004249
36769	chr1	2019048	2019961
36770	chr1	2025374	2026254
36771	chr1	2042991	2043777
36772	chr1	2044539	2045444
36773	chr1	2046265	2047086
36774	chr1	2049877	2050773
36775	chr1	2091371	2092258
36776	chr1	2104424	2105300
36777	chr1	2112139	2113062
36778	chr1	2114962	2115798
36779	chr1	2120850	2121789
36780	chr1	2124279	2125170
36781	chr1	2126825	2127709
36782	chr1	2132981	2133906
36783	chr1	2139546	2140473
36784	chr1	2142499	2143395
36785	chr1	2146109	2147039
36786	chr1	2148483	2149367
36787	chr1	2150961	2151784
36788	chr1	2152802	2153613
36789	chr1	2160452	2161054
36790	chr1	2161173	2161762
36791	chr1	2174022	2174898
36792	chr1	2189186	2190074
36793	chr1	2194575	2195521
36794	chr1	2198907	2199818
36795	chr1	2204715	2205645
36796	chr1	2212303	2213229
36797	chr1	2224113	2224814
36798	chr1	2227364	2228282
36799	chr1	2230844	2231566
36800	chr1	2231697	2232487
36801	chr1	2234147	2235025
36802	chr1	2236986	2237825
36803	chr1	2240120	2240966
36804	chr1	2246374	2247001
36805	chr1	2255292	2256363
36806	chr1	2258187	2258647
36807	chr1	2258774	2259516
36808	chr1	2275897	2276772
36809	chr1	2277802	2278690
36810	chr1	2278990	2279843
36811	chr1	2282674	2283532
36812	chr1	2290353	2291277
36813	chr1	2300763	2301531
36814	chr1	2304879	2305759
36815	chr1	2314757	2315589
36816	chr1	2344783	2345614
36817	chr1	2381493	2382375
36818	chr1	2391248	2392168
36819	chr1	2412189	2413109
36820	chr1	2414129	2415020
36821	chr1	2415761	2416322
36822	chr1	2443489	2444333
36823	chr1	2467129	2467806
36824	chr1	2467921	2468493
36825	chr1	2482993	2483532
36826	chr1	2493556	2494442
36827	chr1	2499718	2500582
36828	chr1	2523520	2524437
36829	chr1	2525962	2526843
36830	chr1	2529087	2529951
36831	chr1	2539124	2540003
36832	chr1	2545885	2546698
36833	chr1	2546826	2547441
36834	chr1	2548447	2549259
36835	chr1	2555426	2556118
36836	chr1	2556236	2556918
36837	chr1	2561688	2562575
36838	chr1	2567074	2567961
36839	chr1	2570107	2571021
36840	chr1	2575716	2576518
36841	chr1	2578009	2578850
36842	chr1	2583770	2584506
36843	chr1	2585101	2585820
36844	chr1	2586231	2587082
36845	chr1	2592644	2593472
36846	chr1	2642736	2643554
36847	chr1	2655589	2656446
36848	chr1	2683712	2684569
36849	chr1	2686944	2687558
36850	chr1	2687812	2688626
36851	chr1	2786338	2787225
36852	chr1	2801321	2802239
36853	chr1	2821725	2822635
36854	chr1	2839991	2840880
36855	chr1	2894341	2895253
36856	chr1	2912407	2913324
36857	chr1	2926511	2927087
36858	chr1	2927204	2927811
36859	chr1	2953614	2954489
36860	chr1	3012273	3013153
36861	chr1	3032762	3033676
36862	chr1	3069836	3070655
36863	chr1	3170567	3171411
36864	chr1	3312811	3313727
36865	chr1	3316346	3317232
36866	chr1	3319656	3320513
36867	chr1	3372091	3372966
36868	chr1	3384160	3385079
36869	chr1	3424412	3425304
36870	chr1	3452876	3453714
36871	chr1	3454266	3455040
36872	chr1	3483560	3484398
36873	chr1	3490974	3491873
36874	chr1	3531003	3531870
36875	chr1	3565008	3565893
36876	chr1	3597190	3598101
36877	chr1	3611173	3612050
36878	chr1	3618778	3619674
36879	chr1	3620808	3621715
36880	chr1	3624459	3625361
36881	chr1	3649628	3650516
36882	chr1	3652119	3652996
36883	chr1	3657637	3658562
36884	chr1	3665986	3666887
36885	chr1	3668619	3669504
36886	chr1	3677159	3677898
36887	chr1	3678508	3679231
36888	chr1	3695329	3696231
36889	chr1	3724132	3725024
36890	chr1	3746932	3747803
36891	chr1	3772099	3772993
36892	chr1	3775591	3776426
36893	chr1	3793415	3794299
36894	chr1	3796064	3796957
36895	chr1	3801132	3802050
36896	chr1	3811056	3811936
36897	chr1	3842717	3843648
36898	chr1	3856838	3857749
36899	chr1	3872349	3873079
36900	chr1	3880796	3881703
36901	chr1	3883258	3884166
36902	chr1	3886603	3887253
36903	chr1	3889675	3890404
36904	chr1	3890749	3891651
36905	chr1	3900167	3901049
36906	chr1	3903121	3903827
36907	chr1	3910573	3911443
36908	chr1	3921943	3922868
36909	chr1	4007262	4008065
36910	chr1	4027260	4028135
36911	chr1	4638052	4638977
36912	chr1	4652385	4653235
36913	chr1	4656065	4656721
36914	chr1	4796188	4797070
36915	chr1	5328953	5329828
36916	chr1	5348522	5349385
36917	chr1	5388746	5389654
36918	chr1	5422909	5423809
36919	chr1	5481601	5482506
36920	chr1	5509579	5510454
36921	chr1	5514308	5515147
36922	chr1	5666749	5667684
36923	chr1	5667946	5668746
36924	chr1	5745603	5746473
36925	chr1	5936820	5937709
36926	chr1	5975014	5975854
36927	chr1	5980203	5981029
36928	chr1	5992062	5992907
36929	chr1	5994446	5995327
36930	chr1	6006881	6007746
36931	chr1	6012765	6013621
36932	chr1	6014489	6015322
36933	chr1	6025816	6026715
36934	chr1	6027955	6028834
36935	chr1	6034151	6035030
36936	chr1	6041144	6041966
36937	chr1	6056215	6057057
36938	chr1	6058405	6059298
36939	chr1	6068286	6069207
36940	chr1	6108678	6109533
36941	chr1	6122817	6123699
36942	chr1	6127462	6128374
36943	chr1	6148346	6149254
36944	chr1	6179306	6180006
36945	chr1	6180161	6180952
36946	chr1	6184240	6184863
36947	chr1	6199187	6200085
36948	chr1	6204997	6205635
36949	chr1	6205758	6206540
36950	chr1	6208862	6209654
36951	chr1	6235530	6236435
36952	chr1	6241950	6242879
36953	chr1	6244797	6245702
36954	chr1	6246440	6247340
36955	chr1	6259692	6260594
36956	chr1	6260892	6261623
36957	chr1	6293807	6294513
36958	chr1	6294645	6295398
36959	chr1	6343165	6344077
36960	chr1	6348048	6348466
36961	chr1	6348553	6348927
36962	chr1	6358550	6359372
36963	chr1	6359533	6360351
36964	chr1	6364825	6365744
36965	chr1	6373900	6374844
36966	chr1	6385101	6386001
36967	chr1	6393134	6394021
36968	chr1	6401431	6402325
36969	chr1	6404409	6405298
36970	chr1	6414121	6415000
36971	chr1	6420573	6421370
36972	chr1	6423190	6424054
36973	chr1	6424544	6425370
36974	chr1	6437778	6438685
36975	chr1	6440092	6440990
36976	chr1	6444865	6445779
36977	chr1	6447536	6448362
36978	chr1	6448716	6449512
36979	chr1	6454774	6455658
36980	chr1	6460083	6460934
36981	chr1	6465718	6466513
36982	chr1	6475258	6476147
36983	chr1	6485014	6485735
36984	chr1	6486203	6487094
36985	chr1	6489812	6490470
36986	chr1	6497049	6497981
36987	chr1	6545290	6546202
36988	chr1	6554069	6554952
36989	chr1	6579513	6580403
36990	chr1	6581696	6582548
36991	chr1	6590977	6591842
36992	chr1	6599391	6600171
36993	chr1	6600797	6601692
36994	chr1	6602533	6603398
36995	chr1	6613096	6613962
36996	chr1	6614646	6615340
36997	chr1	6624756	6625640
36998	chr1	6634366	6635261
36999	chr1	6646217	6647128
37000	chr1	6701449	6702345
37001	chr1	6719727	6720638
37002	chr1	6727244	6728118
37003	chr1	6735238	6735917
37004	chr1	6743420	6744281
37005	chr1	6745068	6745812
37006	chr1	6751683	6752375
37007	chr1	6753267	6754088
37008	chr1	6770708	6771667
37009	chr1	6776659	6777523
37010	chr1	6784789	6785574
37011	chr1	6800517	6801395
37012	chr1	6889724	6890561
37013	chr1	6962201	6963000
37014	chr1	6963132	6963949
37015	chr1	7070163	7070998
37016	chr1	7075184	7075773
37017	chr1	7646979	7647887
37018	chr1	7667303	7668194
37019	chr1	7669244	7670133
37020	chr1	7680071	7680949
37021	chr1	7699206	7699846
37022	chr1	7704198	7705100
37023	chr1	7726340	7727198
37024	chr1	7728538	7729395
37025	chr1	7747650	7748051
37026	chr1	7752617	7753470
37027	chr1	7753666	7754383
37028	chr1	7770857	7771758
37029	chr1	7781731	7782422
37030	chr1	7783634	7784542
37031	chr1	7786536	7787417
37032	chr1	7807959	7808777
37033	chr1	7810137	7810930
37034	chr1	7811399	7812197
37035	chr1	7826918	7827818
37036	chr1	7856091	7856978
37037	chr1	7885126	7885960
37038	chr1	7898616	7899448
37039	chr1	7899697	7900516
37040	chr1	7902440	7903309
37041	chr1	7912904	7913668
37042	chr1	7915612	7916490
37043	chr1	7926792	7927701
37044	chr1	7929418	7930189
37045	chr1	7930708	7931557
37046	chr1	7942126	7943050
37047	chr1	7948792	7949683
37048	chr1	7953758	7954686
37049	chr1	7961153	7962065
37050	chr1	7975022	7975902
37051	chr1	7982028	7982915
37052	chr1	7993688	7994545
37053	chr1	8004710	8005601
37054	chr1	8014727	8015588
37055	chr1	8019768	8020676
37056	chr1	8025895	8026784
37057	chr1	8030897	8031820
37058	chr1	8047013	8047634
37059	chr1	8047741	8048244
37060	chr1	8083513	8084390
37061	chr1	8096496	8097133
37062	chr1	8097249	8097935
37063	chr1	8104315	8105229
37064	chr1	8106533	8107445
37065	chr1	8113050	8113914
37066	chr1	8116457	8117294
37067	chr1	8120809	8121735
37068	chr1	8126898	8127817
37069	chr1	8141400	8142294
37070	chr1	8142966	8143857
37071	chr1	8145429	8146203
37072	chr1	8149449	8150330
37073	chr1	8152569	8153353
37074	chr1	8167102	8167907
37075	chr1	8169488	8170387
37076	chr1	8182174	8183074
37077	chr1	8194151	8195074
37078	chr1	8204093	8204975
37079	chr1	8211545	8212384
37080	chr1	8216937	8217838
37081	chr1	8218468	8219340
37082	chr1	8224583	8225529
37083	chr1	8226527	8227410
37084	chr1	8238758	8239472
37085	chr1	8267632	8268327
37086	chr1	8281781	8282564
37087	chr1	8283046	8283892
37088	chr1	8314133	8315002
37089	chr1	8317701	8318575
37090	chr1	8348703	8349603
37091	chr1	8351481	8352239
37092	chr1	8374490	8375278
37093	chr1	8378301	8378985
37094	chr1	8382716	8383593
37095	chr1	8387764	8388633
37096	chr1	8395160	8396063
37097	chr1	8404256	8405150
37098	chr1	8407423	8408245
37099	chr1	8408890	8409786
37100	chr1	8423487	8424258
37101	chr1	8427301	8428179
37102	chr1	8430697	8431549
37103	chr1	8432133	8432800
37104	chr1	8438650	8439556
37105	chr1	8443401	8444307
37106	chr1	8448756	8449666
37107	chr1	8457539	8458401
37108	chr1	8462966	8463744
37109	chr1	8472428	8473255
37110	chr1	8473549	8474174
37111	chr1	8475805	8476695
37112	chr1	8495948	8496866
37113	chr1	8497284	8498117
37114	chr1	8499597	8500496
37115	chr1	8509901	8510802
37116	chr1	8511482	8512238
37117	chr1	8516649	8517487
37118	chr1	8517674	8518537
37119	chr1	8520295	8521242
37120	chr1	8523387	8524198
37121	chr1	8525555	8526423
37122	chr1	8527533	8528398
37123	chr1	8532808	8533670
37124	chr1	8540156	8540816
37125	chr1	8544757	8545602
37126	chr1	8560819	8561730
37127	chr1	8602301	8603217
37128	chr1	8603882	8604762
37129	chr1	8621591	8622394
37130	chr1	8623383	8624282
37131	chr1	8625277	8626110
37132	chr1	8629411	8630250
37133	chr1	8643346	8644198
37134	chr1	8647433	8648303
37135	chr1	8650973	8651818
37136	chr1	8652104	8653035
37137	chr1	8660218	8661096
37138	chr1	8663766	8664677
37139	chr1	8671014	8671831
37140	chr1	8679008	8679760
37141	chr1	8680851	8681763
37142	chr1	8686982	8687870
37143	chr1	8689536	8690275
37144	chr1	8696012	8696937
37145	chr1	8700984	8701901
37146	chr1	8702925	8703826
37147	chr1	8712461	8713342
37148	chr1	8718612	8719464
37149	chr1	8726248	8727148
37150	chr1	8811159	8812088
37151	chr1	8817308	8818224
37152	chr1	8822385	8823293
37153	chr1	8825782	8826632
37154	chr1	8829245	8830153
37155	chr1	8848622	8849520
37156	chr1	8859163	8860060
37157	chr1	8862260	8863138
37158	chr1	8870940	8871785
37159	chr1	8873343	8874238
37160	chr1	8875185	8875984
37161	chr1	8878466	8879313
37162	chr1	8889666	8890542
37163	chr1	8891509	8892431
37164	chr1	8899640	8900550
37165	chr1	8908049	8908952
37166	chr1	8917822	8918736
37167	chr1	8920566	8921352
37168	chr1	8926730	8927427
37169	chr1	8938103	8938991
37170	chr1	8946323	8947145
37171	chr1	8956465	8957398
37172	chr1	8962618	8963444
37173	chr1	8970779	8971680
37174	chr1	8983393	8984198
37175	chr1	8986455	8987214
37176	chr1	8987738	8988641
37177	chr1	9004825	9005705
37178	chr1	9007447	9008359
37179	chr1	9009701	9010380
37180	chr1	9010909	9011651
37181	chr1	9066947	9067850
37182	chr1	9069274	9070160
37183	chr1	9071359	9072311
37184	chr1	9072946	9073843
37185	chr1	9074712	9075593
37186	chr1	9076081	9076867
37187	chr1	9078041	9078451
37188	chr1	9078550	9079119
37189	chr1	9082998	9083812
37190	chr1	9084688	9085441
37191	chr1	9093296	9094136
37192	chr1	9101292	9102154
37193	chr1	9110492	9111397
37194	chr1	9119550	9120290
37195	chr1	9121774	9122592
37196	chr1	9128836	9129763
37197	chr1	9131329	9132199
37198	chr1	9135129	9136020
37199	chr1	9141988	9142872
37200	chr1	9143223	9143958
37201	chr1	9162466	9163142
37202	chr1	9163633	9164555
37203	chr1	9173823	9174699
37204	chr1	9181055	9181894
37205	chr1	9182185	9182906
37206	chr1	9196145	9197037
37207	chr1	9202392	9203071
37208	chr1	9203420	9204266
37209	chr1	9232950	9233602
37210	chr1	9234347	9235270
37211	chr1	9239470	9240361
37212	chr1	9266833	9267727
37213	chr1	9275277	9276184
37214	chr1	9280287	9281101
37215	chr1	9283861	9284638
37216	chr1	9288741	9289574
37217	chr1	9289961	9290780
37218	chr1	9292495	9293300
37219	chr1	9300094	9300996
37220	chr1	9332512	9333445
37221	chr1	9340613	9341482
37222	chr1	9362312	9363198
37223	chr1	9367995	9368846
37224	chr1	9400163	9401081
37225	chr1	9410673	9411540
37226	chr1	9413005	9413943
37227	chr1	9416235	9417048
37228	chr1	9417474	9418219
37229	chr1	9426082	9426985
37230	chr1	9428533	9429448
37231	chr1	9455556	9456446
37232	chr1	9490764	9491630
37233	chr1	9494962	9495863
37234	chr1	9522289	9523134
37235	chr1	9528959	9529795
37236	chr1	9539019	9539844
37237	chr1	9546442	9547319
37238	chr1	9559463	9560331
37239	chr1	9561168	9562086
37240	chr1	9588295	9589157
37241	chr1	9593213	9594087
37242	chr1	9615309	9616227
37243	chr1	9626759	9627656
37244	chr1	9629414	9630214
37245	chr1	9633336	9634174
37246	chr1	9638430	9639139
37247	chr1	9639260	9639787
37248	chr1	9643443	9644158
37249	chr1	9644423	9645309
37250	chr1	9651514	9651977
37251	chr1	9652106	9652859
37252	chr1	9655035	9655829
37253	chr1	9657741	9658422
37254	chr1	9669796	9670651
37255	chr1	9687060	9687987
37256	chr1	9689045	9689949
37257	chr1	9701934	9702806
37258	chr1	9704445	9705333
37259	chr1	9711364	9712240
37260	chr1	9717312	9718195
37261	chr1	9718902	9719723
37262	chr1	9721469	9722377
37263	chr1	9724715	9725572
37264	chr1	9728372	9729300
37265	chr1	9730281	9731195
37266	chr1	9737938	9738838
37267	chr1	9767908	9768856
37268	chr1	9784268	9785168
37269	chr1	9787394	9788283
37270	chr1	9799920	9800832
37271	chr1	9823613	9824538
37272	chr1	9825328	9826162
37273	chr1	9849958	9850809
37274	chr1	9867191	9868087
37275	chr1	9874616	9875521
37276	chr1	9882044	9882867
37277	chr1	9892916	9893753
37278	chr1	9900155	9901063
37279	chr1	9909984	9910901
37280	chr1	9942929	9943818
37281	chr1	9950225	9950919
37282	chr1	9960832	9961672
37283	chr1	9990767	9991655
37284	chr1	9996944	9997526
37285	chr1	9997630	9998008
37286	chr1	10022419	10023329
37287	chr1	10028802	10029711
37288	chr1	10032409	10033293
37289	chr1	10055551	10056428
37290	chr1	10066702	10067592
37291	chr1	10074082	10074964
37292	chr1	10147859	10148740
37293	chr1	10151066	10152003
37294	chr1	10152698	10153560
37295	chr1	10189407	10190335
37296	chr1	10208300	10209112
37297	chr1	10210010	10210916
37298	chr1	10242596	10243443
37299	chr1	10251487	10252378
37300	chr1	10253486	10254311
37301	chr1	10307661	10308561
37302	chr1	10324486	10325331
37303	chr1	10337774	10338608
37304	chr1	10377103	10377894
37305	chr1	10378268	10379084
37306	chr1	10385005	10385856
37307	chr1	10387837	10388763
37308	chr1	10398499	10399385
37309	chr1	10400426	10401186
37310	chr1	10414983	10415877
37311	chr1	10427786	10428688
37312	chr1	10430096	10431039
37313	chr1	10472099	10472983
37314	chr1	10474548	10475414
37315	chr1	10484286	10485180
37316	chr1	10494659	10495514
37317	chr1	10497039	10497766
37318	chr1	10498055	10498838
37319	chr1	10507129	10508043
37320	chr1	10510692	10511572
37321	chr1	10514096	10514995
37322	chr1	10515518	10516320
37323	chr1	10524923	10525840
37324	chr1	10543975	10544872
37325	chr1	10638344	10639243
37326	chr1	10692072	10692876
37327	chr1	10694311	10695211
37328	chr1	10716142	10717082
37329	chr1	10755641	10756543
37330	chr1	10796109	10796974
37331	chr1	10804041	10804980
37332	chr1	10866812	10867695
37333	chr1	10888307	10889234
37334	chr1	10898066	10898911
37335	chr1	10903418	10904235
37336	chr1	10904539	10905452
37337	chr1	10909663	10910561
37338	chr1	10917682	10918571
37339	chr1	10931813	10932694
37340	chr1	10937106	10938005
37341	chr1	10939845	10940761
37342	chr1	10941707	10942605
37343	chr1	10960728	10961639
37344	chr1	10965426	10966078
37345	chr1	10969148	10969957
37346	chr1	10979351	10979885
37347	chr1	10980002	10980836
37348	chr1	10985782	10986708
37349	chr1	11012132	11012929
37350	chr1	11037367	11038261
37351	chr1	11051599	11052447
37352	chr1	11059663	11060561
37353	chr1	11099384	11100259
37354	chr1	11241470	11242350
37355	chr1	11245864	11246794
37356	chr1	11262212	11263115
37357	chr1	11272743	11273638
37358	chr1	11280731	11281587
37359	chr1	11291275	11292189
37360	chr1	11319873	11320796
37361	chr1	11335225	11336146
37362	chr1	11337241	11338148
37363	chr1	11407098	11407993
37364	chr1	11478506	11479402
37365	chr1	11480010	11480737
37366	chr1	11501259	11502159
37367	chr1	11642126	11643024
37368	chr1	11645496	11646355
37369	chr1	11648570	11649412
37370	chr1	11650121	11651031
37371	chr1	11654383	11655267
37372	chr1	11663895	11664726
37373	chr1	11670386	11671242
37374	chr1	11680776	11681685
37375	chr1	11691049	11691940
37376	chr1	11692834	11693767
37377	chr1	11710986	11711776
37378	chr1	11719208	11720144
37379	chr1	11725303	11726194
37380	chr1	11730067	11730898
37381	chr1	11731550	11732396
37382	chr1	11735684	11736472
37383	chr1	11736607	11737424
37384	chr1	11738505	11739381
37385	chr1	11740515	11741386
37386	chr1	11748860	11749734
37387	chr1	11761686	11762550
37388	chr1	11772091	11772873
37389	chr1	11784839	11785701
37390	chr1	11790594	11791503
37391	chr1	11792037	11792722
37392	chr1	11803141	11803981
37393	chr1	11805644	11806564
37394	chr1	11812750	11813559
37395	chr1	11814715	11815618
37396	chr1	11838365	11839235
37397	chr1	11842384	11843206
37398	chr1	11843699	11844301
37399	chr1	11850971	11851878
37400	chr1	11858981	11859859
37401	chr1	11893658	11894524
37402	chr1	11905310	11906223
37403	chr1	11907685	11908522
37404	chr1	11909341	11910254
37405	chr1	11925994	11926890
37406	chr1	11934224	11935134
37407	chr1	11952445	11953213
37408	chr1	11954877	11955653
37409	chr1	11960540	11961408
37410	chr1	11966800	11967638
37411	chr1	11979839	11980758
37412	chr1	11985595	11986482
37413	chr1	12018936	12019838
37414	chr1	12031067	12031891
37415	chr1	12040238	12041070
37416	chr1	12047123	12048057
37417	chr1	12051752	12052656
37418	chr1	12063069	12063920
37419	chr1	12068224	12068912
37420	chr1	12079267	12080025
37421	chr1	12087569	12088340
37422	chr1	12088466	12089219
37423	chr1	12106539	12107256
37424	chr1	12109771	12110536
37425	chr1	12118350	12119242
37426	chr1	12120941	12121848
37427	chr1	12124587	12125444
37428	chr1	12125781	12126470
37429	chr1	12132730	12133629
37430	chr1	12140735	12141594
37431	chr1	12143417	12144240
37432	chr1	12148001	12148866
37433	chr1	12150285	12151178
37434	chr1	12151774	12152547
37435	chr1	12153002	12153903
37436	chr1	12157431	12158342
37437	chr1	12161542	12162447
37438	chr1	12166620	12167453
37439	chr1	12171694	12172539
37440	chr1	12173430	12174318
37441	chr1	12177663	12178494
37442	chr1	12178898	12179749
37443	chr1	12180276	12180965
37444	chr1	12183947	12184866
37445	chr1	12194355	12195248
37446	chr1	12196377	12197285
37447	chr1	12201392	12202322
37448	chr1	12203871	12204690
37449	chr1	12208616	12209514
37450	chr1	12210313	12211214
37451	chr1	12229596	12230480
37452	chr1	12271653	12272512
37453	chr1	12275080	12275836
37454	chr1	12276098	12276921
37455	chr1	12314075	12314976
37456	chr1	12344411	12345151
37457	chr1	12345282	12346159
37458	chr1	12376519	12377394
37459	chr1	12384676	12385439
37460	chr1	12385981	12386790
37461	chr1	12397457	12398323
37462	chr1	12415827	12416692
37463	chr1	12433943	12434747
37464	chr1	12435451	12436319
37465	chr1	12438242	12439130
37466	chr1	12449182	12450091
37467	chr1	12453079	12453991
37468	chr1	12472836	12473735
37469	chr1	12475523	12476198
37470	chr1	12478298	12479115
37471	chr1	12480624	12481520
37472	chr1	12496010	12496844
37473	chr1	12510394	12511288
37474	chr1	12565782	12566487
37475	chr1	12595667	12596478
37476	chr1	12601118	12601688
37477	chr1	12601803	12602502
37478	chr1	12604077	12604973
37479	chr1	12617780	12618532
37480	chr1	12619666	12620492
37481	chr1	12630891	12631816
37482	chr1	12658734	12659614
37483	chr1	13593455	13594379
37484	chr1	13623017	13623911
37485	chr1	13642464	13643328
37486	chr1	13662121	13662969
37487	chr1	13663802	13664743
37488	chr1	13665429	13666320
37489	chr1	13667499	13668418
37490	chr1	13674064	13674918
37491	chr1	13699879	13700763
37492	chr1	13702502	13703422
37493	chr1	13706012	13706899
37494	chr1	13713230	13714008
37495	chr1	13714770	13715635
37496	chr1	13718319	13718883
37497	chr1	13719000	13719553
37498	chr1	13723515	13724404
37499	chr1	13725560	13726458
37500	chr1	13730581	13731473
37501	chr1	13732812	13733673
37502	chr1	13737268	13738157
37503	chr1	13748919	13749791
37504	chr1	13753588	13754402
37505	chr1	13754549	13755077
37506	chr1	13756601	13757522
37507	chr1	13762380	13763289
37508	chr1	13781941	13782843
37509	chr1	13789933	13790448
37510	chr1	13811136	13811872
37511	chr1	13813343	13814243
37512	chr1	13828676	13829549
37513	chr1	13960221	13961045
37514	chr1	14543161	14543951
37515	chr1	14739229	14740086
37516	chr1	14742036	14742883
37517	chr1	14755609	14756479
37518	chr1	14915128	14916024
37519	chr1	14923751	14924576
37520	chr1	14968752	14969569
37521	chr1	15065720	15066596
37522	chr1	15080142	15080986
37523	chr1	15090241	15091095
37524	chr1	15100134	15101005
37525	chr1	15111989	15112902
37526	chr1	15128270	15129152
37527	chr1	15135612	15136193
37528	chr1	15137558	15138479
37529	chr1	15146672	15147532
37530	chr1	15152250	15153190
37531	chr1	15153683	15154615
37532	chr1	15168251	15169130
37533	chr1	15177422	15178332
37534	chr1	15218297	15219172
37535	chr1	15224065	15224831
37536	chr1	15224953	15225379
37537	chr1	15231408	15232319
37538	chr1	15245683	15246478
